id,title,sector,sector_confidence,sector_flag,country,country_confidence,country_flag,year,year_method,year_confidence,year_flag,report_type,type_note,type_confidence,type_flag,sroi_ratio,ratio_confidence,ratio_flag,quality_pct,n_quality_flags,all_flags
9,Reports Database:Whizz Kids SROI March 2011,disability,MEDIUM,NARROW margin over health (score diff=1),UK,HIGH,,2011,explicit_pattern,HIGH,,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,65.0,VERIFIED,,43.8,2,SECTOR: NARROW margin over health (score diff=1) | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p3_value_what_matters: WEAK — only 1 keyword; may be coincidental | QUALITY: p6_be_transparent: WEAK — only 1 keyword; may be coincidental
159,Reports Database:Social Return on Investment Analysis: Clyde Muirshiel Park Auth,environment,MEDIUM,NARROW margin over employment (score diff=1),UK,MEDIUM,NARROW margin (1),2014,explicit_pattern,HIGH,,Forecast,keyword_match,MEDIUM,,27.0,UNVERIFIED,Ratio 27.0 NOT FOUND in PDF text — may be from metadata only,87.5,1,SECTOR: NARROW margin over employment (score diff=1) | COUNTRY: NARROW margin (1) | RATIO: Ratio 27.0 NOT FOUND in PDF text — may be from metadata only | QUALITY: p5_do_not_overclaim: WEAK — only 1 keyword; may be coincidental
55,Reports Database:Substance Abuse Prevention Dollars and Cents – A social cost be,health,MEDIUM,NARROW margin over education (score diff=1),Australia,MEDIUM,NARROW margin (1),2008,modal_3000chars,LOW,LOW CONFIDENCE — may be reference year,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,18.0,VERIFIED,,37.5,2,SECTOR: NARROW margin over education (score diff=1) | COUNTRY: NARROW margin (1) | YEAR: LOW CONFIDENCE — may be reference year | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p4_only_material: WEAK — only 1 keyword; may be coincidental | QUALITY: p8_be_responsive: WEAK — only 1 keyword; may be coincidental
144,Reports Database:The YSS Pathways Accommodation Mentoring (PAM) Service,housing,MEDIUM,,Unknown,NONE,UNKNOWN COUNTRY — manual review needed,2012,explicit_pattern,HIGH,,Evaluative,keyword_match,MEDIUM,,16.87,VERIFIED,,62.5,2,COUNTRY: UNKNOWN COUNTRY — manual review needed | QUALITY: p3_value_what_matters: WEAK — only 1 keyword; may be coincidental | QUALITY: p7_verify_result: WEAK — only 1 keyword; may be coincidental
12,Reports Database:Food Connect Brisbane Forecast SROI Report,housing,LOW,TIED between housing and sports — ambiguous,Australia,MEDIUM,,2011,explicit_pattern,HIGH,,Forecast,conflict_resolved,LOW,"CONFLICTING TYPE SIGNALS: ['Forecast', 'Evaluative']",16.83,VERIFIED,,37.5,3,"SECTOR: TIED between housing and sports — ambiguous | TYPE: CONFLICTING TYPE SIGNALS: ['Forecast', 'Evaluative'] | QUALITY: p1_involve_stakeholders: WEAK — only 1 keyword; may be coincidental | QUALITY: p3_value_what_matters: WEAK — only 1 keyword; may be coincidental | QUALITY: p7_verify_result: WEAK — only 1 keyword; may be coincidental"
83,Reports Database:Veterans Contact Point SROI Report,education,LOW,TIED between education and justice — ambiguous,Unknown,NONE,UNKNOWN COUNTRY — manual review needed,2013,explicit_pattern,HIGH,,Scoping,keyword_match,MEDIUM,,15.7,UNVERIFIED,Ratio 15.7 NOT FOUND in PDF text — may be from metadata only,68.8,1,SECTOR: TIED between education and justice — ambiguous | COUNTRY: UNKNOWN COUNTRY — manual review needed | RATIO: Ratio 15.7 NOT FOUND in PDF text — may be from metadata only | QUALITY: p1_involve_stakeholders: WEAK — only 1 keyword; may be coincidental
8,"Reports Database:HITTING THE TARGET, MISSING THE POINT: How government regenerat",social_inclusion,MEDIUM,NARROW margin over community (score diff=1),UK,MEDIUM,NARROW margin (1),2012,modal_3000chars,LOW,LOW CONFIDENCE — may be reference year,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,14.0,UNVERIFIED,Ratio 14.0 NOT FOUND in PDF text — may be from metadata only,43.8,2,SECTOR: NARROW margin over community (score diff=1) | COUNTRY: NARROW margin (1) | YEAR: LOW CONFIDENCE — may be reference year | TYPE: ASSUMED EVALUATIVE — no keyword found | RATIO: Ratio 14.0 NOT FOUND in PDF text — may be from metadata only | QUALITY: p1_involve_stakeholders: WEAK — only 1 keyword; may be coincidental | QUALITY: p8_be_responsive: WEAK — only 1 keyword; may be coincidental
139,Reports Database:NSW Employment Program: Evaluation and Social Return on Investm,employment,MEDIUM,NARROW margin over youth (score diff=1),Australia,MEDIUM,NARROW margin (1),2012,explicit_pattern,HIGH,,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,10.0,VERIFIED,,31.2,2,SECTOR: NARROW margin over youth (score diff=1) | COUNTRY: NARROW margin (1) | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p6_be_transparent: WEAK — only 1 keyword; may be coincidental | QUALITY: p7_verify_result: WEAK — only 1 keyword; may be coincidental
242,"Reports Database:Through a glass, darkly: Measuring the social value of universi",housing,LOW,TIED between housing and education — ambiguous,Unknown,NONE,UNKNOWN COUNTRY — manual review needed,2011,explicit_pattern,HIGH,,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,10.0,VERIFIED,,37.5,3,SECTOR: TIED between housing and education — ambiguous | COUNTRY: UNKNOWN COUNTRY — manual review needed | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p1_involve_stakeholders: WEAK — only 1 keyword; may be coincidental | QUALITY: p3_value_what_matters: WEAK — only 1 keyword; may be coincidental | QUALITY: p8_be_responsive: WEAK — only 1 keyword; may be coincidental
17,Reports Database:Public Social Partnerships Employability Pilot SROI,employment,MEDIUM,,UK,MEDIUM,,,scraped_date_fallback,NONE,UNKNOWN YEAR — scraped date not used; set to null,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,9.93,VERIFIED,,50.0,4,YEAR: UNKNOWN YEAR — scraped date not used; set to null | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p3_value_what_matters: WEAK — only 1 keyword; may be coincidental | QUALITY: p4_only_material: WEAK — only 1 keyword; may be coincidental | QUALITY: p6_be_transparent: WEAK — only 1 keyword; may be coincidental | QUALITY: p7_verify_result: WEAK — only 1 keyword; may be coincidental
