id,slug,title,url,sector_clean,year_clean,report_type_clean,org_type,assurance_clean,sroi_ratio_value,total_investment_raw,stakeholder_mentions,has_pdf,pdf_extracted,has_text,text_length,p1_involve_stakeholders,p2_understand_changes,p3_value_what_matters,p4_only_material,p5_do_not_overclaim,p6_be_transparent,p7_verify_result,p8_be_responsive,quality_total,quality_pct,is_assured_raw,publication_year_raw,country_clean
9,whizz-kids-sroi-march-2011,Reports Database:Whizz Kids SROI March 2011,https://socialvalueuk.org/reports/whizz-kids-sroi-march-2011/,disability,2011.0,Unknown,government,0,65.0,"costs

£10",4,1,1,1,5000,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,7.0,43.8,0,,UK
159,social-return-on-investment-analysis-clyde-muirshiel-park-authority,Reports Database:Social Return on Investment Analysis: Clyde Muirshiel Park Authority,https://socialvalueuk.org/reports/social-return-on-investment-analysis-clyde-muirshiel-park-authority/,environment,2014.0,Forecast,unknown,0,27.0,"Investment 
7",5,1,1,1,5000,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,14.0,87.5,0,2023.0,UK
55,substance-abuse-dollars-and-cents-a-social-cost-benefit-analysis,Reports Database:Substance Abuse Prevention Dollars and Cents – A social cost benefit analysis,https://socialvalueuk.org/reports/substance-abuse-dollars-and-cents-a-social-cost-benefit-analysis/,health,2008.0,Unknown,government,0,18.0,costs $220,1,1,1,1,5000,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,6.0,37.5,0,,Australia
144,the-yss-pathways-accommodation-mentoring-pam-service,Reports Database:The YSS Pathways Accommodation Mentoring (PAM) Service,https://socialvalueuk.org/reports/the-yss-pathways-accommodation-mentoring-pam-service/,housing,2012.0,Unknown,unknown,0,16.87,"cost £10,000",6,1,1,1,5000,1.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,10.0,62.5,0,2023.0,UK
12,food-connect-brisbane-forecast-sroi-report,Reports Database:Food Connect Brisbane Forecast SROI Report,https://socialvalueuk.org/reports/food-connect-brisbane-forecast-sroi-report/,agriculture_food,2010.0,Forecast,private,1,16.83,"Total Investment 

$212,603",13,1,1,1,5000,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,6.0,37.5,1,,Australia
83,veterans-contact-point-sroi-report,Reports Database:Veterans Contact Point SROI Report,https://socialvalueuk.org/reports/veterans-contact-point-sroi-report/,education,2013.0,Scoping,unknown,0,15.7,investment of £15.70,5,1,1,1,5000,1.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,11.0,68.8,0,,UK
8,hitting-the-target-missing-the-point-how-government-regeneration-targets-fail-deprived-areas,"Reports Database:HITTING THE TARGET, MISSING THE POINT: How government regeneration targets fail dep",https://socialvalueuk.org/reports/hitting-the-target-missing-the-point-how-government-regeneration-targets-fail-deprived-areas/,social_inclusion,2000.0,Unknown,charity,0,14.0,,4,1,1,1,5000,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,7.0,43.8,0,,UK
139,nsw-employment-program-evaluation-and-social-return-on-investment,Reports Database:NSW Employment Program: Evaluation and Social Return on Investment,https://socialvalueuk.org/reports/nsw-employment-program-evaluation-and-social-return-on-investment/,employment,2012.0,Unknown,government,0,10.0,"Investment
26",2,1,1,1,5000,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,31.2,0,2023.0,Australia
242,through-a-glass-darkly-measuring-the-social-value-of-universities,"Reports Database:Through a glass, darkly: Measuring the social value of universities",https://socialvalueuk.org/reports/through-a-glass-darkly-measuring-the-social-value-of-universities/,housing,2011.0,Unknown,government,0,10.0,"Investment 

10",0,1,1,1,5000,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0,37.5,0,2023.0,UK
17,public-social-partnerships-employability-pilot-sroi,Reports Database:Public Social Partnerships Employability Pilot SROI,https://socialvalueuk.org/reports/public-social-partnerships-employability-pilot-sroi/,employment,,Unknown,government,0,9.93,,8,1,1,1,5000,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,8.0,50.0,0,,UK
