id,slug,title,url,sector_clean,sector_confidence,country_clean,country_confidence,year_clean,year_method,year_confidence,report_type_clean,type_note,type_confidence,assurance_clean,is_assured_raw,sroi_ratio_value,ratio_confidence,total_investment_raw,stakeholder_mentions,has_pdf,has_text,text_length,p1_involve_stakeholders,p2_understand_changes,p3_value_what_matters,p4_only_material,p5_do_not_overclaim,p6_be_transparent,p7_verify_result,p8_be_responsive,quality_total,quality_pct,n_quality_flags,p1_involve_stakeholders_llm,p2_understand_changes_llm,p3_value_what_matters_llm,p4_only_material_llm,p5_do_not_overclaim_llm,p6_be_transparent_llm,p7_verify_result_llm,p8_be_responsive_llm,quality_total_llm,quality_pct_llm,quality_total_kw,quality_pct_kw,p1_involve_stakeholders_agent_c,p2_understand_changes_agent_c,p3_value_what_matters_agent_c,p4_only_material_agent_c,p5_do_not_overclaim_agent_c,p6_be_transparent_agent_c,p7_verify_result_agent_c,p8_be_responsive_agent_c,quality_total_agent_c,quality_pct_agent_c,sroi_ratio_llm,investment_amount_llm,currency_llm,total_social_value_llm,n_beneficiaries_llm,n_outcomes_llm,n_stakeholder_groups_llm,deadweight_pct_llm,attribution_pct_llm,drop_off_pct_llm,displacement_pct_llm,discount_rate_pct_llm,has_sensitivity_analysis_llm,has_proxy_sources_llm,has_materiality_assessment_llm,extraction_notes_llm,sroi_ratio_lpdf,investment_amount_lpdf,currency_lpdf,total_social_value_lpdf,n_beneficiaries_lpdf,n_outcomes_lpdf,n_stakeholder_groups_lpdf,deadweight_pct_lpdf,attribution_pct_lpdf,drop_off_pct_lpdf,displacement_pct_lpdf,discount_rate_pct_lpdf,has_sensitivity_analysis_lpdf,has_proxy_sources_lpdf,has_materiality_assessment_lpdf,extraction_notes_lpdf
9,whizz-kids-sroi-march-2011,Reports Database:Whizz Kids SROI March 2011,https://socialvalueuk.org/reports/whizz-kids-sroi-march-2011/,disability,MEDIUM,UK,HIGH,2011.0,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,65.0,VERIFIED,"costs

£10",4,1,1,5000,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,7.0,43.8,2,1,1,1,0,1,1,1,0,6,37.5,7.0,43.75,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,31.25,25.0,1.0,GBP,2500.0,70000.0,3.0,5.0,,,,,,False,False,False,Agent B's extraction is used for fields where Agent A provided null values. No additional information in the report excerpt contradicts Agent B's values.,25.0,1.0,GBP,25.0,,,,,0.0,,,3.5,False,False,False,"The SROI ratio, investment amount, total social value, attribution percentage, and discount rate percentage were extracted from Agent B as they align with the text indicating an average return scenario of £25 for every £1 invested. Agent A provided no data for these fields. The text supports the average return scenario, but there is no explicit mention of attribution or discount rate, so these values are taken from Agent B's extraction. Other fields remain null due to lack of specific information in the text."
159,social-return-on-investment-analysis-clyde-muirshiel-park-authority,Reports Database:Social Return on Investment Analysis: Clyde Muirshiel Park Authority,https://socialvalueuk.org/reports/social-return-on-investment-analysis-clyde-muirshiel-park-authority/,environment,MEDIUM,UK,MEDIUM,2014.0,explicit_pattern,HIGH,Forecast,keyword_match,MEDIUM,0,0,27.0,UNVERIFIED,"Investment 
7",5,1,1,5000,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,14.0,87.5,1,1,1,0,0,1,1,1,1,6,37.5,14.0,87.5,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,6.0,37.5,9.0,1.0,GBP,9.0,,,,,,,,,True,False,False,"The investment amount and currency were confirmed based on the report excerpt stating that every £1 invested generates £9 of benefits, indicating a 1:9 investment to social value ratio. No additional information was available for other fields, leaving them as null.",9.0,,GBP,,,,,48.0,68.0,,0.0,,True,False,True,"The displacement percentage was set to 0.0 based on the text indicating limited displacement for a few stakeholders. No specific percentage was provided in the text, but the context suggests minimal displacement."
55,substance-abuse-dollars-and-cents-a-social-cost-benefit-analysis,Reports Database:Substance Abuse Prevention Dollars and Cents – A social cost benefit analysis,https://socialvalueuk.org/reports/substance-abuse-dollars-and-cents-a-social-cost-benefit-analysis/,health,MEDIUM,Australia,MEDIUM,2008.0,modal_3000chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,18.0,VERIFIED,costs $220,1,1,1,5000,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,6.0,37.5,2,0,0,0,0,0,1,0,0,1,6.25,6.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,34.0,,,,9483000.0,,,25.0,25.0,,,3.0,False,False,False,"The SROI ratio of 34.0 and attribution percentage of 25.0 were confirmed from the text, specifically referencing the All Stars program with a cost-benefit ratio of 34:1. Agent B's extraction aligns with this information. Remaining fields such as investment amount, currency, and total social value are not specified in the text, leading to null values. The extraction is based on the available data, and any missing information remains uncertain."
144,the-yss-pathways-accommodation-mentoring-pam-service,Reports Database:The YSS Pathways Accommodation Mentoring (PAM) Service,https://socialvalueuk.org/reports/the-yss-pathways-accommodation-mentoring-pam-service/,housing,MEDIUM,UK,LOW,2012.0,explicit_pattern,HIGH,Evaluative,keyword_match,MEDIUM,0,0,16.87,VERIFIED,"cost £10,000",6,1,1,5000,1.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,10.0,62.5,2,1,2,1,0,2,1,1,1,9,56.25,10.0,62.5,2.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,9.0,56.25,16.87,72000.0,GBP,,122.0,7.0,3.0,81.0,45.0,50.0,,,False,True,False,"All values were taken from Agent B's extraction as Agent A provided null values for the disputed fields. The report excerpt supports the values provided by Agent B, particularly for deadweight and attribution percentages.",16.87,72000.0,GBP,1210000.0,122.0,7.0,3.0,0.0,19.0,0.0,0.0,3.5,False,True,False,"Agent B's data was selected for all fields with disagreements as it aligns with the detailed information provided in the report text. Agent A did not provide values for these fields, leading to the resolution in favor of Agent B's extraction."
12,food-connect-brisbane-forecast-sroi-report,Reports Database:Food Connect Brisbane Forecast SROI Report,https://socialvalueuk.org/reports/food-connect-brisbane-forecast-sroi-report/,housing,LOW,Australia,MEDIUM,2011.0,explicit_pattern,HIGH,Forecast,conflict_resolved,LOW,1,1,16.83,VERIFIED,"Total Investment 

$212,603",13,1,1,5000,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,6.0,37.5,3,1,1,0,0,1,1,0,1,5,31.25,6.0,37.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,16.83,212603.0,AUD,3578861.0,5.0,10.0,6.0,,,,,,False,False,False,"The number of beneficiaries, outcomes, and stakeholder groups were extracted from Agent B's data as Agent A did not provide values. No further uncertainties remain.",16.83,212603.0,AUD,3578861.0,,,6.0,0.0,0.0,0.0,0.0,,False,False,False,"The text explicitly states that no drop-off has been applied and attribution is assigned to specific outcomes, supporting agent B's values of 0.0 for both attribution_pct and drop_off_pct. Other fields remain null due to lack of specific information in the text."
83,veterans-contact-point-sroi-report,Reports Database:Veterans Contact Point SROI Report,https://socialvalueuk.org/reports/veterans-contact-point-sroi-report/,education,LOW,UK,LOW,2013.0,explicit_pattern,HIGH,Scoping,keyword_match,MEDIUM,0,0,15.7,UNVERIFIED,investment of £15.70,5,1,1,5000,1.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,11.0,68.8,1,0,1,0,0,0,0,0,1,2,12.5,11.0,68.75,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,8.0,50.0,,,,,,,,,,,,,True,True,False,"The report contains a section titled 'Sensitivity Analysis and Verification' and a table labeled 'Sensitivity Analysis', supporting the presence of sensitivity analysis. The presence of 'Appendix 3 - Financial Proxies' suggests the use of proxy sources. Therefore, the values from Agent B are considered correct for these fields.",15.7,,GBP,,140.0,,,,,50.0,,3.5,True,False,False,A and B agree — no reconciliation needed.
8,hitting-the-target-missing-the-point-how-government-regeneration-targets-fail-deprived-areas,"Reports Database:HITTING THE TARGET, MISSING THE POINT: How government regeneration targets fail dep",https://socialvalueuk.org/reports/hitting-the-target-missing-the-point-how-government-regeneration-targets-fail-deprived-areas/,social_inclusion,MEDIUM,UK,MEDIUM,2012.0,modal_3000chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,14.0,UNVERIFIED,,4,1,1,5000,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,7.0,43.8,2,0,1,0,0,1,1,0,0,3,18.75,7.0,43.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.5,,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,,,,,,,,,,,,,False,False,False,A and B agree — no reconciliation needed.
139,nsw-employment-program-evaluation-and-social-return-on-investment,Reports Database:NSW Employment Program: Evaluation and Social Return on Investment,https://socialvalueuk.org/reports/nsw-employment-program-evaluation-and-social-return-on-investment/,employment,MEDIUM,Australia,MEDIUM,2012.0,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,10.0,VERIFIED,"Investment
26",2,1,1,5000,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,31.2,2,1,1,0,0,1,1,1,1,6,37.5,5.0,31.25,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,18.75,1.97,,,,90.0,44.0,,20.0,,,,,False,False,False,"The number of outcomes and deadweight percentage were confirmed from the report excerpt. No additional information was available for other fields, which remain null.",1.97,,AUD,1031000.0,90.0,,4.0,20.0,,,,4.0,False,False,False,A and B agree — no reconciliation needed.
242,through-a-glass-darkly-measuring-the-social-value-of-universities,"Reports Database:Through a glass, darkly: Measuring the social value of universities",https://socialvalueuk.org/reports/through-a-glass-darkly-measuring-the-social-value-of-universities/,housing,LOW,UK,LOW,2011.0,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,10.0,VERIFIED,"Investment 

10",0,1,1,5000,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0,37.5,3,0,1,0,0,0,0,0,1,2,12.5,6.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,,,,,,,,,,,,,False,False,True,A and B agree — no reconciliation needed.
17,public-social-partnerships-employability-pilot-sroi,Reports Database:Public Social Partnerships Employability Pilot SROI,https://socialvalueuk.org/reports/public-social-partnerships-employability-pilot-sroi/,employment,MEDIUM,UK,MEDIUM,,scraped_date_fallback,NONE,Evaluative,assumed_evaluative,LOW,0,0,9.93,VERIFIED,,8,1,1,5000,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,8.0,50.0,4,1,1,0,0,0,0,0,0,2,12.5,8.0,50.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,8.0,50.0,9.93,66962.0,GBP,665137.0,12.0,8.0,6.0,,,,,3.5,False,False,False,"The number of outcomes was determined to be 8 based on Agent B's extraction, which aligns with the report's description of a range of outcomes. No further uncertainties remain.",9.93,66962.0,GBP,665137.0,12.0,,6.0,10.0,10.0,,0.0,3.5,False,False,False,"Deadweight, attribution, and displacement percentages were confirmed from the detailed tables on pages 50-56. No information was available for drop-off percentage, hence it remains null."
