id,title,sector_clean,country_clean,report_type_clean,assurance_clean,text_chars,pdf_pages,pdf_source,kw_wellby,kw_qaly,kw_hact,kw_unit_cost,kw_cabinet_office,kw_wtp,kw_replacement_cost,kw_wage_rate,kw_nhs_costs,kw_gov_statistics,kw_literature,kw_bespoke,kw_svuk_resources,kw_global_value_exchange,kw_four_people,kw_local_multiplier,kw_employment_proxy,kw_health_proxy,kw_education_proxy,kw_housing_proxy,n_methods_detected,primary_proxy_method,proxy_sources_named,n_proxies_estimated,monetization_approach,has_sensitivity_on_proxies,monetization_notes,extraction_status
9,Reports Database:Whizz Kids SROI March 2011,disability,UK,Evaluative,0,5240,28,fullpdf,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,replacement_cost,"[""Frontier Economics estimates"", ""PCT cost comparisons""]",2.0,partial,False,The report uses replacement cost as a proxy by comparing the costs of wheelchair provision between Whizz-Kidz and typical PCT services. It estimates the financial benefits based on reduced health costs and increased employment outcomes for children receiving services.,ok
159,Reports Database:Social Return on Investment Analysis: Clyde Muirshiel Park Auth,environment,UK,Forecast,0,15000,47,fullpdf,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.0,mixed,"[""RSPB: Lochwinnoch: About"", ""John Muir Award Gatherings"", ""Family Spending 2011 Appendix 1"", ""HM Treasury. The Green Book, Appraisal and Evaluation in Central Government""]",10.0,full,True,"The report uses a variety of financial proxies based on costs associated with gym memberships, printing costs, and community activity expenditures. Sensitivity analysis was applied to assess the range of benefits derived from the investment.",ok
55,Reports Database:Substance Abuse Prevention Dollars and Cents – A social cost be,health,Australia,Evaluative,0,15000,60,fullpdf,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2.0,qaly,"[""Miller and Levy, 2000"", ""Miller and Hendrie, 2005"", ""Weimer and Vining, 1999""]",22.0,full,False,"The report uses QALY values to estimate the cost-effectiveness of various substance abuse prevention programs, providing detailed cost-benefit ratios and net benefits per pupil. It cites multiple studies for its estimates, including those by Miller and Levy and Weimer and Vining.",ok
144,Reports Database:The YSS Pathways Accommodation Mentoring (PAM) Service,housing,Unknown,Evaluative,0,15000,29,fullpdf,False,False,False,True,True,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,4.0,mixed,"[""NEF accredited reports"", ""DWP figures"", ""MOJ figures""]",8.0,partial,True,"The report uses a combination of NEF accredited reports for deadweight and displacement, alongside DWP and MOJ figures for state benefits and criminal costs. It also incorporates qualitative data from interviews to attribute outcomes related to confidence, health, and employability.",ok
12,Reports Database:Food Connect Brisbane Forecast SROI Report,housing,Australia,Forecast,1,15000,54,fullpdf,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,3.0,replacement_cost,[],10.0,partial,True,"The report uses replacement cost proxies to estimate the social value created by increased revenue for farmers, improved access to food for subscribers, and savings from welfare payments for the government. Specific financial values are derived from stakeholder interviews and assumptions validated t",ok
83,Reports Database:Veterans Contact Point SROI Report,education,Unknown,Scoping,0,15000,51,fullpdf,False,False,False,True,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,4.0,mixed,[],,partial,True,"The report discusses the use of various financial proxies to value outcomes, but does not specify named sources. It acknowledges the challenges in attributing monetary values to soft outcomes and includes a sensitivity analysis to address uncertainties in proxy values.",ok
8,"Reports Database:HITTING THE TARGET, MISSING THE POINT: How government regenerat",social_inclusion,UK,Evaluative,0,15000,44,fullpdf,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,1.0,mixed,[],,partial,True,"The report uses financial proxies for outcomes without market values, focusing on projected social returns based on qualitative findings and stakeholder input. It discusses the need for a more sophisticated approach to measure and monetize social outcomes, indicating sensitivity to the accuracy of p",ok
139,Reports Database:NSW Employment Program: Evaluation and Social Return on Investm,employment,Australia,Evaluative,0,12023,30,fullpdf,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,replacement_cost,[],4.0,partial,False,"The report uses a replacement cost method to estimate the financial benefits of reduced crime, decreased welfare dependency, and improved health outcomes for participants placed in jobs. Specific costs avoided, such as the cost of crime and welfare support, are calculated based on conservative assum",ok
242,"Reports Database:Through a glass, darkly: Measuring the social value of universi",housing,Unknown,Evaluative,0,15000,60,fullpdf,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,3.0,mixed,"[""New Economics Foundation"", ""Cabinet Office"", ""OECD International Management in Higher Education (IMHE)"", ""Universities that Count initiative""]",3.0,partial,False,"The report employs a mixed approach to monetization, utilizing SROI methodology to derive monetary values for societal outcomes such as health, political interest, and interpersonal trust, while also referencing frameworks and methodologies from the New Economics Foundation and the Cabinet Office.",ok
17,Reports Database:Public Social Partnerships Employability Pilot SROI,employment,UK,Evaluative,0,9279,73,fullpdf,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2.0,unit_cost,"[""Unit Costs of Health and Social Care 2008"", ""BSY LTD Disability Issues Distance Learning Course"", ""ENABLE Scotland"", ""Marketing Minefield"", ""Quality Scotland"", ""CIPD Absence Management Report 2010"", ""CIPD Recruitment Retention Turnover Survey 2010"", ""PAYE & ENIC Rates 2011"", ""Disability Living Allowance Rates 2011"", ""Pathways to Work Credit""]",14.0,full,False,"The report uses unit costs from various sources to monetize outcomes related to employability, health, and social care, including costs associated with disability awareness training and healthcare services. All identified outcomes were monetized, leading to a comprehensive financial assessment.",ok
131,Reports Database:Vienna University of Economics and Business – “Casa Abraham” Ex,education,Unknown,Evaluative,0,5175,2,fullpdf,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1.0,replacement_cost,[],,partial,True,"The report monetizes the social value generated by the Casa Abraham project, particularly focusing on the vocational training provided to youth. It includes a sensitivity analysis to assess the impact of full capacity utilization and variations in the duration of training benefits.",ok
347,Reports Database:Evaluation of Four Recovery Communities across England: Interim,health,UK,Forecast,0,8502,5,fullpdf,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,mixed,"[""SROI Network (2012) The Guide to Social Return on Investment""]",,partial,False,"The report uses a mixed methods approach to evaluate social outcomes, with a forecast SROI analysis indicating potential social value created per £1 invested for different recovery communities. Specific financial proxies are not detailed, but the analysis is based on stakeholder experiences and outc",ok
266,Reports Database:Social Return on Investment Report: The YSS Worcestershire Youn,housing,Unknown,Evaluative,0,15000,34,fullpdf,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,3.0,mixed,[],,partial,False,"The report uses a mixed approach to monetization, incorporating various methods to value outcomes, but does not specify distinct financial proxies or named sources. It acknowledges the challenges of assigning monetary values to soft outcomes like confidence and self-esteem.",ok
4,Reports Database:North Ayrshire Fab Pad Project,housing,UK,Evaluative,0,15000,75,fullpdf,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,3.0,mixed,"[""CHA staff timesheets"", ""CHA financial records"", ""Local vacancy information"", ""Participant or project records"", ""NAC decisions"", ""National guidelines for employment journey""]",16.0,partial,True,"The report uses a mix of proxies including unit costs for services, salary costs for reduced support time, and local vacancy information to estimate the financial value of various impacts. Sensitivity analysis is discussed regarding deadweight and drop-off rates.",ok
1,Reports Database:Subliminal Directions Social Return on Investment Report,employment,UK,Evaluative,0,15000,34,fullpdf,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,2.0,mixed,"[""National data on outcomes for NEET group"", ""School Leavers Destinations Survey"", ""Interviews with family stakeholders"", ""Cost information from national research""]",7.0,full,False,"The report uses a mixed approach to monetization, employing various financial proxies such as avoided costs of becoming NEET, future earnings potential, and costs associated with supervision and attendance. Sources include national data and stakeholder interviews.",ok
53,Reports Database:Craft Cafe SROI Evaluation,arts_culture,UK,Evaluative,0,15000,50,fullpdf,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,3.0,unit_cost,[],12.0,partial,True,"The report uses unit costs to estimate the financial value of various outcomes related to the Craft Café programme, including costs associated with mental health services and recreational activities. No specific external sources for the proxies are cited.",ok
112,Reports Database:Integrating Adaptation into REDD+ : Potential impacts and socia,environment,Indonesia,Evaluative,0,15000,72,fullpdf,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,2.0,mixed,"[""Provincial Statistics Office"", ""Wulan et al. (2008)"", ""Belcher et al. (2004)"", ""USAID\u2019s assessment of the rubber industry value chain in Indonesia"", ""tradingeconomics.com""]",5.0,partial,True,"The report uses a combination of literature and local statistics to estimate financial proxies for agricultural yields and labor costs. It discusses the use of conservative estimates and acknowledges the uncertainty in the data, particularly regarding yield variability and market prices.",ok
11,Reports Database:Food Connect Sydney Forecast SROI Report,arts_culture,Australia,Forecast,0,15000,44,fullpdf,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,2.0,mixed,"[""Cabinet Office WELLBYs"", ""SROI principles""]",5.0,partial,True,"The report uses a mix of financial proxies including increased revenue for farmers, savings from welfare payments, and increased tax contributions. It references the Cabinet Office WELLBYs for wellbeing values and discusses the sensitivity of assumptions used in the modeling.",ok
