id,slug,title,url,sector_clean,sector_confidence,country_clean,country_confidence,year_clean,year_method,year_confidence,report_type_clean,type_note,type_confidence,assurance_clean,is_assured_raw,sroi_ratio_value,ratio_confidence,total_investment_raw,stakeholder_mentions,has_pdf,has_text,text_length,p1_involve_stakeholders,p2_understand_changes,p3_value_what_matters,p4_only_material,p5_do_not_overclaim,p6_be_transparent,p7_verify_result,p8_be_responsive,quality_total,quality_pct,n_quality_flags
9,whizz-kids-sroi-march-2011,Reports Database:Whizz Kids SROI March 2011,https://socialvalueuk.org/reports/whizz-kids-sroi-march-2011/,disability,MEDIUM,UK,HIGH,2011,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,65.0,VERIFIED,"costs

£10",4,1,1,5000,1,1,1,0,2,1,1,0,7,43.8,2
159,social-return-on-investment-analysis-clyde-muirshiel-park-authority,Reports Database:Social Return on Investment Analysis: Clyde Muirshiel Park Authority,https://socialvalueuk.org/reports/social-return-on-investment-analysis-clyde-muirshiel-park-authority/,environment,MEDIUM,UK,MEDIUM,2014,explicit_pattern,HIGH,Forecast,keyword_match,MEDIUM,0,0,27.0,UNVERIFIED,"Investment 
7",5,1,1,5000,2,2,1,2,1,2,2,2,14,87.5,1
55,substance-abuse-dollars-and-cents-a-social-cost-benefit-analysis,Reports Database:Substance Abuse Prevention Dollars and Cents – A social cost benefit analysis,https://socialvalueuk.org/reports/substance-abuse-dollars-and-cents-a-social-cost-benefit-analysis/,health,MEDIUM,Australia,MEDIUM,2008,modal_3000chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,18.0,VERIFIED,costs $220,1,1,1,5000,0,1,1,1,0,2,0,1,6,37.5,2
144,the-yss-pathways-accommodation-mentoring-pam-service,Reports Database:The YSS Pathways Accommodation Mentoring (PAM) Service,https://socialvalueuk.org/reports/the-yss-pathways-accommodation-mentoring-pam-service/,housing,MEDIUM,Unknown,NONE,2012,explicit_pattern,HIGH,Evaluative,keyword_match,MEDIUM,0,0,16.87,VERIFIED,"cost £10,000",6,1,1,5000,1,1,1,0,2,2,1,2,10,62.5,2
12,food-connect-brisbane-forecast-sroi-report,Reports Database:Food Connect Brisbane Forecast SROI Report,https://socialvalueuk.org/reports/food-connect-brisbane-forecast-sroi-report/,housing,LOW,Australia,MEDIUM,2011,explicit_pattern,HIGH,Forecast,conflict_resolved,LOW,1,1,16.83,VERIFIED,"Total Investment 

$212,603",13,1,1,5000,1,1,1,2,0,0,1,0,6,37.5,3
83,veterans-contact-point-sroi-report,Reports Database:Veterans Contact Point SROI Report,https://socialvalueuk.org/reports/veterans-contact-point-sroi-report/,education,LOW,Unknown,NONE,2013,explicit_pattern,HIGH,Scoping,keyword_match,MEDIUM,0,0,15.7,UNVERIFIED,investment of £15.70,5,1,1,5000,1,2,0,0,2,2,2,2,11,68.8,1
8,hitting-the-target-missing-the-point-how-government-regeneration-targets-fail-deprived-areas,"Reports Database:HITTING THE TARGET, MISSING THE POINT: How government regeneration targets fail dep",https://socialvalueuk.org/reports/hitting-the-target-missing-the-point-how-government-regeneration-targets-fail-deprived-areas/,social_inclusion,MEDIUM,UK,MEDIUM,2012,modal_3000chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,14.0,UNVERIFIED,,4,1,1,5000,1,1,2,0,0,2,0,1,7,43.8,2
139,nsw-employment-program-evaluation-and-social-return-on-investment,Reports Database:NSW Employment Program: Evaluation and Social Return on Investment,https://socialvalueuk.org/reports/nsw-employment-program-evaluation-and-social-return-on-investment/,employment,MEDIUM,Australia,MEDIUM,2012,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,10.0,VERIFIED,"Investment
26",2,1,1,5000,2,1,0,0,0,1,1,0,5,31.2,2
242,through-a-glass-darkly-measuring-the-social-value-of-universities,"Reports Database:Through a glass, darkly: Measuring the social value of universities",https://socialvalueuk.org/reports/through-a-glass-darkly-measuring-the-social-value-of-universities/,housing,LOW,Unknown,NONE,2011,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,10.0,VERIFIED,"Investment 

10",0,1,1,5000,1,1,1,0,0,2,0,1,6,37.5,3
17,public-social-partnerships-employability-pilot-sroi,Reports Database:Public Social Partnerships Employability Pilot SROI,https://socialvalueuk.org/reports/public-social-partnerships-employability-pilot-sroi/,employment,MEDIUM,UK,MEDIUM,,scraped_date_fallback,NONE,Evaluative,assumed_evaluative,LOW,0,0,9.93,VERIFIED,,8,1,1,5000,2,2,1,1,0,1,1,0,8,50.0,4
131,vienna-university-of-economics-and-business-casa-abraham-executive-summary,Reports Database:Vienna University of Economics and Business – “Casa Abraham” Executive Summary,https://socialvalueuk.org/reports/vienna-university-of-economics-and-business-casa-abraham-executive-summary/,education,MEDIUM,Unknown,NONE,2008,modal_800chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,9.3,VERIFIED,investment of 174,3,1,1,5000,1,1,2,0,0,1,2,0,7,43.8,2
347,evaluation-of-four-recovery-communities-across-england-interim-report-summary,Reports Database:Evaluation of Four Recovery Communities across England: Interim Report Summary,https://socialvalueuk.org/reports/evaluation-of-four-recovery-communities-across-england-interim-report-summary/,health,MEDIUM,UK,HIGH,2016,explicit_pattern,HIGH,Forecast,keyword_match,MEDIUM,0,0,9.24,UNVERIFIED,,2,1,1,5000,1,1,1,0,0,1,0,1,5,31.2,4
266,social-return-on-investment-report-the-yss-worcestershire-young-carers-project,Reports Database:Social Return on Investment Report: The YSS Worcestershire Young Carers’ Project,https://socialvalueuk.org/reports/social-return-on-investment-report-the-yss-worcestershire-young-carers-project/,housing,MEDIUM,Unknown,NONE,2013,explicit_pattern,HIGH,Evaluative,keyword_match,MEDIUM,0,0,8.69,VERIFIED,"cost £10,000",7,1,1,5000,1,1,1,0,0,2,1,2,8,50.0,2
4,north-ayrshire-fab-pad-project,Reports Database:North Ayrshire Fab Pad Project,https://socialvalueuk.org/reports/north-ayrshire-fab-pad-project/,housing,MEDIUM,UK,MEDIUM,2007,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,8.38,VERIFIED,"investment of 
£8.38",6,1,1,5000,1,2,1,0,0,0,1,1,6,37.5,3
1,subliminal-directions-social-return-on-investment-report,Reports Database:Subliminal Directions Social Return on Investment Report,https://socialvalueuk.org/reports/subliminal-directions-social-return-on-investment-report/,employment,MEDIUM,UK,MEDIUM,2007,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,8.27,VERIFIED,investment of £8.27,6,1,1,5000,2,2,1,2,1,1,1,0,10,62.5,4
53,craft-cafe-sroi-evaluation,Reports Database:Craft Cafe SROI Evaluation,https://socialvalueuk.org/reports/craft-cafe-sroi-evaluation/,arts_culture,MEDIUM,UK,HIGH,2011,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,8.27,UNVERIFIED,Investment of £8.27,3,1,1,5000,2,2,1,1,0,2,2,1,11,68.8,2
112,integrating-adaptation-into-redd-potential-impacts-and-social-return-on-investment-in-setulang-malinau-district-indonesia,Reports Database:Integrating Adaptation into REDD+ : Potential impacts and social return on investme,https://socialvalueuk.org/reports/integrating-adaptation-into-redd-potential-impacts-and-social-return-on-investment-in-setulang-malinau-district-indonesia/,environment,MEDIUM,Indonesia,MEDIUM,2013,modal_800chars,MEDIUM,Evaluative,assumed_evaluative,LOW,0,0,8.1,VERIFIED,"investment 

8.1",9,1,1,5000,1,2,0,0,0,1,1,0,5,31.2,1
11,food-connect-sydney-forecast-sroi-report,Reports Database:Food Connect Sydney Forecast SROI Report,https://socialvalueuk.org/reports/food-connect-sydney-forecast-sroi-report/,arts_culture,MEDIUM,Australia,HIGH,2011,explicit_pattern,HIGH,Forecast,conflict_resolved,LOW,0,0,7.96,VERIFIED,"Total Investment 

$185,000",13,1,1,5000,1,1,1,0,0,0,1,0,4,25.0,3
372,the-social-value-of-carmichael-centre-2,Reports Database:The Social Value of Carmichael Centre,https://socialvalueuk.org/reports/the-social-value-of-carmichael-centre-2/,health,LOW,Ireland,MEDIUM,2014,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,7.1,VERIFIED,"Inputs 
4.2",6,1,1,5000,2,2,1,1,2,2,2,2,14,87.5,2
58,sunderland-xl-youth-villages-sroi-evaluation,Reports Database:Sunderland XL Youth Villages SROI Evaluation,https://socialvalueuk.org/reports/sunderland-xl-youth-villages-sroi-evaluation/,housing,LOW,UK,MEDIUM,2011,explicit_pattern,HIGH,Evaluative,keyword_match,MEDIUM,0,0,6.83,VERIFIED,,12,1,1,3108,2,2,1,2,1,2,2,2,14,87.5,2
75,cufa-sroi-report,Reports Database:CUFA SROI Report,https://socialvalueuk.org/reports/cufa-sroi-report/,education,LOW,Cambodia,MEDIUM,2011,modal_800chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,6.81,VERIFIED,,14,1,1,5000,1,1,2,1,0,2,0,2,9,56.2,1
374,community-first-moray-sroi-analysis,Reports Database:Community First (Moray) SROI Analysis,https://socialvalueuk.org/reports/community-first-moray-sroi-analysis/,disability,LOW,UK,HIGH,2007,modal_3000chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,6.45,VERIFIED,"investment of £44,133,",33,1,1,5000,1,2,1,1,2,1,2,0,10,62.5,3
142,a-balanced-family,Reports Database:The social return on investment of a coaching course for (ex) convict mums,https://socialvalueuk.org/reports/a-balanced-family/,health,LOW,Unknown,NONE,2014,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,6.2,VERIFIED,"investment 

6.1",10,1,1,5000,2,2,0,1,0,2,2,2,11,68.8,1
