,Coef.,Std. Err.,z,P>|z|,CI_low,CI_high,Sig.
const,26.909907924383504,1.8312158911047933,14.695103977144088,6.92920451513276e-49,23.320790729900686,30.49902511886632,***
sec_education,2.3543216640236233,2.361604668256653,0.9969160781518924,0.318805246747631,-2.2743384314810786,6.982981759528325,
sec_employment,2.832836253701131,2.9482274085209266,0.9608608364177426,0.3366221447307973,-2.945583285233742,8.611255792636005,
sec_health,6.668778943338881,3.5136229650837323,1.8979779588217598,0.05769898559515529,-0.21779552347806952,13.555353410155831,
sec_environment,1.2535904438997196,3.999257711194124,0.3134557796540235,0.7539344117328136,-6.584810634934852,9.091991522734292,
sec_disability,2.163911169237677,4.537350612875432,0.47691072475141005,0.6334256946932059,-6.729132617228911,11.056954955704265,
sec_arts_culture,0.8724360538704903,4.044279647079907,0.21572100101940667,0.8292052301751363,-7.054206397814488,8.79907850555547,
cty_Australia,-7.9783048946750625,3.3106545178009807,-2.4098874865307454,0.015957440809973505,-14.467068514819804,-1.4895412745303211,*
cty_USA,1.191441054761983,4.520268031822001,0.26357752380487587,0.7921054796337149,-7.668121488076894,10.05100359760086,
cty_Canada,4.304575196769122,3.3944742749479673,1.268112481669965,0.20475778477534523,-2.3484721285766073,10.95762252211485,
org_government,2.4756308495768433,2.140819766372542,1.156393867649874,0.24752008878077403,-1.720298789904792,6.6715604890584785,
org_private,1.0754427739899775,3.014645305113072,0.35673940551677613,0.7212869025938297,-4.833153450194406,6.984038998174361,
org_social_enterprise,2.5368822946387257,3.8907058656919484,0.6520365152783273,0.5143776165171501,-5.088761076556226,10.162525665833677,
assured,10.361511411207543,2.7745333559056555,3.7345059806734118,0.00018808402197753374,4.923525959727407,15.799496862687679,***
year_std,-0.21740089076950125,0.9536972311291919,-0.22795587915474527,0.8196805408194829,-2.086613115938289,1.6518113343992866,
log_stakeholders,8.404952633960438,0.9886957576739358,8.501050569625612,1.878824952713549e-17,6.467144557251983,10.342760710668893,***
